Baseline Average Throughput,ML Average Throughput,Baseline Sticky Events,ML Sticky Events
95.8,88.0,2,0
89.8,88.4,3,0
85.0,86.8,3,0
85.6,85.4,3,0
90.6,88.4,2,0
91.0,94.4,2,0
84.8,92.4,3,0
90.4,87.0,2,0
92.4,94.6,2,0
88.2,88.8,3,0
89.2,84.2,3,0
94.6,84.4,2,0
90.4,89.8,2,0
90.4,93.6,2,0
92.6,84.0,2,0
89.4,88.6,3,0
84.2,94.0,3,0
89.6,88.6,3,0
86.0,95.4,3,0
84.6,89.6,3,0
85.0,94.4,3,0
90.8,93.6,2,0
91.8,86.6,2,0
89.8,94.8,3,0
92.6,86.8,2,0
94.4,84.4,2,0
95.6,84.0,2,0
87.6,95.8,3,0
87.6,87.4,3,0
94.8,94.0,2,0
89.0,85.8,3,0
90.8,92.6,2,0
93.4,92.6,2,0
89.6,88.4,3,0
86.8,91.6,3,0
95.0,90.8,2,0
94.6,94.2,2,0
95.0,91.6,2,0
90.4,89.8,2,0
92.2,90.6,2,0
84.6,91.0,3,0
91.2,91.8,2,0
85.8,92.2,3,0
87.2,87.2,3,0
87.2,91.8,3,0
87.0,90.4,3,0
89.2,87.4,3,0
85.4,90.8,3,0
86.0,94.2,3,0
94.4,90.8,2,0
92.2,89.2,2,0
94.8,94.8,2,0
84.6,94.6,3,0
87.0,85.2,3,0
94.6,90.4,2,0
95.2,90.4,2,0
88.0,88.2,3,0
88.6,91.4,3,0
89.4,89.6,3,0
87.2,94.6,3,0
84.2,86.6,3,0
86.6,84.6,3,0
90.2,86.2,2,0
86.2,90.8,3,0
87.8,85.6,3,0
91.0,85.4,2,0
87.4,84.0,3,0
94.2,91.4,2,0
94.6,85.8,2,0
86.0,89.8,3,0
87.8,91.0,3,0
86.4,89.6,3,0
95.6,92.6,2,0
91.6,84.0,2,0
86.8,88.0,3,0
89.2,94.4,3,0
91.8,84.0,2,0
93.8,86.6,2,0
90.8,93.4,2,0
88.8,94.4,3,0
90.2,86.8,2,0
92.2,94.4,2,0
86.0,89.0,3,0
87.4,84.0,3,0
88.2,95.6,3,0
90.8,91.6,2,0
84.8,90.8,3,0
85.0,95.2,3,0
89.6,89.6,3,0
91.0,89.6,2,0
85.4,94.8,3,0
85.2,84.8,3,0
93.2,91.2,2,0
92.8,90.0,2,0
84.8,84.4,3,0
88.4,91.8,3,0
84.8,86.8,3,0
92.4,95.2,2,0
88.0,84.8,3,0
88.0,85.6,3,0
88.2,88.4,3,0
94.6,85.4,2,0
86.2,90.0,3,0
88.6,86.4,3,0
87.0,92.8,3,0
85.6,86.2,3,0
85.0,95.0,3,0
84.0,90.4,3,0
85.4,86.2,3,0
95.8,87.2,2,0
91.8,89.2,2,0
85.4,85.6,3,0
89.8,90.0,3,0
93.0,93.4,2,0
94.6,95.8,2,0
87.6,87.2,3,0
93.6,89.4,2,0
94.2,84.6,2,0
94.6,95.2,2,0
94.6,95.4,2,0
93.6,85.2,2,0
90.2,95.4,2,0
87.0,93.4,3,0
91.2,87.8,2,0
88.2,90.4,3,0
93.2,93.8,2,0
94.2,88.8,2,0
95.8,89.2,2,0
92.6,91.0,2,0
94.0,93.2,2,0
86.0,94.6,3,0
95.8,88.8,2,0
88.0,88.0,3,0
95.0,91.2,2,0
91.0,91.2,2,0
86.0,94.4,3,0
95.6,88.0,2,0
86.8,84.4,3,0
91.2,87.8,2,0
84.2,86.2,3,0
85.0,87.0,3,0
94.4,91.2,2,0
87.4,95.0,3,0
87.2,87.0,3,0
90.4,86.2,2,0
86.6,85.0,3,0
85.4,89.0,3,0
87.4,94.8,3,0
95.6,86.2,2,0
95.2,93.8,2,0
87.6,87.8,3,0
89.4,90.4,3,0
89.0,85.2,3,0
87.2,85.6,3,0
92.6,93.6,2,0
86.0,87.2,3,0
89.2,85.0,3,0
93.0,84.4,2,0
87.2,95.8,3,0
93.4,92.2,2,0
92.0,87.6,2,0
89.0,90.0,3,0
95.6,93.2,2,0
85.8,88.0,3,0
90.2,91.8,2,0
89.4,93.2,3,0
84.0,90.4,3,0
87.4,92.8,3,0
95.8,85.8,2,0
84.2,85.2,3,0
90.4,87.8,2,0
91.0,95.8,2,0
95.2,88.4,2,0
85.6,88.0,3,0
92.6,89.2,2,0
87.0,88.8,3,0
88.8,94.4,3,0
95.8,92.0,2,0
87.8,89.6,3,0
95.8,90.6,2,0
89.0,84.2,3,0
87.0,86.4,3,0
93.2,91.0,2,0
84.8,92.4,3,0
95.2,84.6,2,0
91.8,95.0,2,0
90.2,85.2,2,0
86.0,93.6,3,0
90.2,91.4,2,0
92.2,95.0,2,0
92.2,86.8,2,0
95.2,86.4,2,0
85.6,88.4,3,0
93.0,90.4,2,0
95.4,84.0,2,0
90.4,91.2,2,0
88.8,86.8,3,0
91.4,86.6,2,0
94.6,87.2,2,0
95.8,86.4,2,0
95.2,93.6,2,0
91.4,91.6,2,0
87.4,90.0,3,0
87.8,88.8,3,0
86.0,93.2,3,0
